"SchoolName","SchoolSystem","SchoolGrade","SchoolGradeLetter","SchoolGradeNumber","GrowtStatus","GradeLevel","FreeReduced","Latitude","Longitude"
"B F Grady Elementary","Duplin County Schools","D - 49","D","49","Exceeded","39.6","85","35.05693800","-77.83003900"
"Beulaville Elementary","Duplin County Schools","C - 58","C","58","Exceeded","50.4","65","34.91887283","-77.76406097"
"Charity Middle","Duplin County Schools","D - 51","D","51","Exceeded","42.3","76","34.82760620","-77.96963501"
"Chinquapin Elementary","Duplin County Schools","C - 64","C","64","Met","58.9","62","34.82463837","-77.81471252"
"Warsaw Elementary","Duplin County Schools","D - 44","D","44","Exceeded","33.8","93","34.99736400","-78.07856700"
"Duplin Early College High","Duplin County Schools","B - 78","B","78","Met","62.4","71","34.94656295","-77.97878981"
"E E Smith Middle","Duplin County Schools","D - 40","D","40","NotMet","33.4","76","34.95804280","-77.97425151"
"East Duplin High","Duplin County Schools","C - 58","C","58","NotMet","42.8","57","34.94100571","-77.78279114"
"James Kenan High","Duplin County Schools","D - 52","D","52","Met","30.0","73","35.53934479","-79.18541718"
"Kenansville Elementary","Duplin County Schools","C - 63","C","63","Exceeded","55.1","80","34.95618000","-77.95941900"
"North Duplin Elementary","Duplin County Schools","C - 63","C","63","Exceeded","56.0","77","35.53934479","-79.18541718"
"North Duplin Jr Sr High","Duplin County Schools","D - 54","D","54","NotMet","47.5","60","35.13500200","-78.08612000"
"Rose Hill-Magnolia Elementary","Duplin County Schools","D - 46","D","46","Exceeded","35.1","95","34.85034180","-78.02056122"
"Wallace Elementary","Duplin County Schools","D - 49","D","49","NotMet","44.1","78","34.73594382","-77.97763981"
"Wallace-Rose Hill High","Duplin County Schools","C - 55","C","55","NotMet","37.3","64","34.77218246","-77.99998474"
"Warsaw Middle","Duplin County Schools","D - 42","D","42","Exceeded","31.7","90","34.77218246","-77.99998474"
"Bethesda Elementary","Durham Public Schools","D - 45","D","45","Met","38.7","81","35.94200514","-78.83868322"
"Brogden Middle","Durham Public Schools","D - 44","D","44","Exceeded","33.2","73","36.02552310","-78.90800893"
"Brogden Middle","Wayne County Public Schools","F - 35","F","35","Met","24.8","100","36.02552310","-78.90800893"
"Burton Elementary","Durham Public Schools","D - 52","D","52","Exceeded","41.6","87","35.97857285","-78.88746643"
"J D Clement Early College HS","Durham Public Schools","A+ - 92","A","92","Exceeded","87.5","58","35.53934479","-79.18541718"
"Eastway Elementary","Durham Public Schools","F - 33","F","33","Met","21.6","100","35.99123383","-78.88471985"
"C E Jordan High","Durham Public Schools","C - 68","C","68","Exceeded","51.0","40","35.92368600","-78.96362300"
"Easley Elementary","Durham Public Schools","C - 64","C","64","NotMet","63.0","27","36.07527542","-78.92663574"
"The School for Creative Studies","Durham Public Schools","C - 55","C","55","Met","48.3","53","36.07218170","-78.82298279"
"Eno Valley Elementary","Durham Public Schools","F - 37","F","37","Met","27.9","83","36.08536911","-78.91379547"
"George L Carrington Middle","Durham Public Schools","D - 52","D","52","Exceeded","42.4","62","36.08649826","-78.91844177"
"City of Medicine Academy","Durham Public Schools","A+ - 85","A","85","Exceeded","72.9","56","36.03882015","-78.90261166"
"Club Boulevard Elementary","Durham Public Schools","D - 53","D","53","Met","45.8","60","36.01900482","-78.89839172"
"Creekside Elementary","Craven County Schools","B - 73","B","73","Exceeded","69.6","28","35.92734100","-78.99346900"
"Creekside Elementary","Durham Public Schools","C - 66","C","66","Met","62.6","44","35.92734100","-78.99346900"
"Creekside Elementary","Pitt County Schools","C - 57","C","57","Exceeded","49.3","50","35.92734100","-78.99346900"
"Glenn Elementary","Durham Public Schools","F - 39","F","39","Met","29.4","93","36.02949905","-78.83748627"
"Durham's Performance Learning Center","Durham Public Schools","NA - NA","N","","NA","13.0","67","35.98960800","-78.87950800"
"Durham School of the Arts","Durham Public Schools","B - 81","B","81","Exceeded","72.3","39","36.00281525","-78.90722656"
"Hillandale Elementary","Durham Public Schools","C - 58","C","58","Met","53.8","57","36.05248600","-78.93266200"
"Hillandale Elementary","Henderson County Schools","C - 69","C","69","Exceeded","63.2","68","36.05248600","-78.93266200"
"Hillside High","Durham Public Schools","C - 65","C","65","Exceeded","39.5","65","35.95231757","-78.90507795"
"Hope Valley Elementary","Durham Public Schools","C - 59","C","59","Exceeded","50.5","63","35.96773289","-78.93984407"
"Holt Elementary","Durham Public Schools","D - 53","D","53","Exceeded","43.9","88","36.05649900","-78.90782900"
"Holton Career and Resource Center","Durham Public Schools","I - NA","I","","NA","NA","NA","35.98960800","-78.87950800"
"Forest View Elementary","Durham Public Schools","C - 69","C","69","Exceeded","63.3","61","35.98869324","-78.99134827"
"DPS Hospital School","Durham Public Schools","F - 0","F","0","NA","<5","33","35.53934479","-79.18541718"
"James E Shepard Middle","Durham Public Schools","D - 43","D","43","Met","35.9","73","35.96628500","-78.90076400"
"Lakewood Elementary","Durham Public Schools","F - 38","F","38","Met","29.5","100","35.98271900","-78.93575200"
"Little River Elementary","Durham Public Schools","C - 65","C","65","NotMet","66.1","39","36.09869003","-78.86341858"
"Lakeview School","Durham Public Schools","NA - NA","N","","NA","<5","100","36.03704834","-78.87841797"
"Lakewood Montessori Middle","Durham Public Schools","C - 68","C","68","Exceeded","62.4","48","35.98418000","-78.92804700"
"Lucas Middle","Durham Public Schools","D - 47","D","47","NotMet","43.4","64","36.10905457","-78.88645935"
"Fayetteville Street Elementary","Durham Public Schools","D - 43","D","43","Met","33.1","100","35.96409900","-78.90539500"
"Lowe's Grove Middle","Durham Public Schools","F - 34","F","34","NotMet","27.9","78","35.90428100","-78.89122000"
"George Watts Elementary","Durham Public Schools","C - 60","C","60","Met","56.5","48","36.00817800","-78.91012500"
"Mangum Elementary","Durham Public Schools","B - 73","B","73","NotMet","74.4","26","36.17063522","-78.87692261"
"Merrick-Moore Elementary","Durham Public Schools","F - 30","F","30","NotMet","20.5","90","36.00587463","-78.85253143"
"Middle College HS @ DTCC","Durham Public Schools","A - 86","A","86","Exceeded","53.8","52","35.97538300","-78.88069100"
"Morehead Montessori","Durham Public Schools","C - 69","C","69","Met","65.3","40","35.98819700","-78.91375700"
"Neal Middle","Durham Public Schools","F - 34","F","34","NotMet","26.8","84","35.97848511","-78.78290558"
"Northern High","Durham Public Schools","C - 57","C","57","Met","36.6","59","36.09273529","-78.91237640"
"Oak Grove Elementary","Durham Public Schools","D - 51","D","51","Met","44.5","76","35.97994600","-78.81945800"
"Oak Grove Elementary","Wake County Schools","B - 81","B","81","Met","80.5","17","35.97994600","-78.81945800"
"Parkwood Elementary","Durham Public Schools","D - 54","D","54","Exceeded","45.0","71","35.89143372","-78.90569305"
"Parkwood Elementary","Onslow County Schools","D - 54","D","54","NotMet","52.8","41","35.89143372","-78.90569305"
"E K Powe Elementary","Durham Public Schools","D - 49","D","49","Met","41.9","64","36.01294708","-78.92248535"
"Pearsontown Elementary","Durham Public Schools","B - 75","B","75","Met","75.0","31","35.93195300","-78.90785200"
"Riverside High","Durham Public Schools","C - 58","C","58","NotMet","40.8","52","36.06549454","-78.94322205"
"Riverside High","Martin County Schools","C - 58","C","58","NotMet","43.3","38","36.06549454","-78.94322205"
"Sherwood Githens Middle","Durham Public Schools","D - 42","D","42","NotMet","35.8","69","35.98843002","-78.92532349"
"R N Harris Elementary","Durham Public Schools","C - 56","C","56","Met","49.4","89","35.97035217","-78.88377380"
"Southern School of Energy and Sustainabi","Durham Public Schools","D - 44","D","44","NotMet","23.9","73","35.99888900","-78.82695700"
"Sandy Ridge Elementary","Durham Public Schools","D - 43","D","43","NotMet","38.3","58","36.05729200","-78.87153600"
"Sandy Ridge Elementary","Stokes County Schools","C - 65","C","65","Met","59.5","60","36.05729200","-78.87153600"
"Sandy Ridge Elementary","Union County Public Schools","B - 83","B","83","Met","83.4","3","36.05729200","-78.87153600"
"Rogers-Herr Middle","Durham Public Schools","C - 67","C","67","Exceeded","62.3","45","35.97327501","-78.93331759"
"Southwest Elementary","Durham Public Schools","D - 51","D","51","Met","43.7","63","35.92855835","-78.92396545"
"Southwest Elementary","Forsyth County Schools","C - 69","C","69","NotMet","71.6","46","35.92855835","-78.92396545"
"Southwest Elementary","Guilford County Schools","B - 80","B","80","Exceeded","78.5","22","35.92855835","-78.92396545"
"Southwest Elementary","Hickory City Schools","D - 41","D","41","Met","32.0","96","35.92855835","-78.92396545"
"Southwest Elementary","Onslow County Schools","C - 64","C","64","Met","61.8","51","35.92855835","-78.92396545"
"C C Spaulding Elementary","Durham Public Schools","F - 38","F","38","Met","27.7","100","35.97773743","-78.90558624"
"Spring Valley Elementary","Durham Public Schools","C - 56","C","56","Met","50.2","65","35.95597800","-78.81529900"
"W G Pearson Elementary","Durham Public Schools","F - 33","F","33","Met","23.2","88","35.95609200","-78.90435000"
"Y E Smith Elementary","Durham Public Schools","F - 35","F","35","Met","23.1","100","35.98546982","-78.87285614"
"Hillside New Tech High","Durham Public Schools","C - 68","C","68","Exceeded","45.9","55","35.95231757","-78.90507795"
"Maureen Joy Charter School","Charter Schools","C - 64","C","64","Exceeded","55.2","88","35.98509200","-78.87694500"
"Healthy Start Academy","Charter Schools","F - 39","F","39","Met","28.3","98","35.99650574","-78.91357422"
"Carter Community Charter","Charter Schools","D - 47","D","47","Exceeded","36.0","81","35.98138809","-78.95516968"
"Kestrel Heights School","Charter Schools","C - 67","C","67","Exceeded","60.3","9","35.89831900","-78.89044900"
"Research Triangle Charter","Charter Schools","C - 62","C","62","Exceeded","53.2","61","35.93654200","-78.85071500"
"Central Park School For Child","Charter Schools","B - 71","B","71","NotMet","72.3","14","36.00466156","-78.90096283"
"Voyager Academy","Charter Schools","B - 71","B","71","Met","66.8","10","36.04590200","-78.89591900"
"Global Scholars Academy","Charter Schools","F - 39","F","39","Met","30.5","100","36.00057602","-78.89285278"
"Research Triangle High School","Charter Schools","B - 76","B","76","Met","73.9","20","35.53934479","-79.18541718"
"The Institute Development Young Leaders","Charter Schools","D - 47","D","47","Exceeded","36.9","72","36.01633835","-78.91389465"
"Reaching All Minds Academy","Charter Schools","F - 23","F","23","NotMet","12.5","94","35.98906700","-78.85189000"
"G W Bulluck Elementary","Edgecombe County Public School","C - 57","C","57","Exceeded","49.3","58","35.88370514","-77.71983337"
"G W Carver Elementary","Edgecombe County Public School","D - 54","D","54","Exceeded","44.4","52","35.78880742","-77.63008721"
"Coker-Wimberly Elementary","Edgecombe County Public School","F - 39","F","39","Met","27.4","64","35.97690964","-77.60421753"
"Edgecombe Early College High","Edgecombe County Public School","A - 92","A","92","Exceeded","90.7","19","35.87801300","-77.56940400"
"North Edgecombe High","Edgecombe County Public School","D - 51","D","51","Met","21.6","61","35.98957825","-77.58393860"
"Phillips Middle","Chapel Hill-Carrboro Schools","B - 76","B","76","NotMet","78.2","26","36.00167465","-77.68596649"
"Phillips Middle","Edgecombe County Public School","F - 26","F","26","NotMet","16.0","57","36.00167465","-77.68596649"
"Princeville Elementary","Edgecombe County Public School","F - 33","F","33","Met","23.2","75","35.88650131","-77.52551270"
"South Edgecombe Middle","Edgecombe County Public School","D - 51","D","51","Exceeded","41.5","50","35.77769000","-77.64373000"
"W A Pattillo Middle","Edgecombe County Public School","F - 36","F","36","Exceeded","22.5","67","35.90292700","-77.52384900"
"West Edgecombe Middle","Edgecombe County Public School","D - 40","D","40","NotMet","33.6","58","35.90418625","-77.73463440"
"SouthWest Edgecombe High","Edgecombe County Public School","C - 56","C","56","Met","33.5","48","35.83665466","-77.65789795"
"Stocks Elementary","Edgecombe County Public School","F - 30","F","30","NotMet","21.8","81","35.91483638","-77.53940441"
"Tarboro High","Edgecombe County Public School","C - 55","C","55","Met","22.1","50","35.90242767","-77.55859375"
"Martin Millennium Academy","Edgecombe County Public School","F - 38","F","38","Met","28.8","58","35.90745163","-77.53671265"
"North East Carolina Prep","Charter Schools","F - 37","F","37","NotMet","30.0","87","35.90528488","-77.51390076"
"Ashley Academy","Forsyth County Schools","F - 29","F","29","NotMet","20.5","91","36.11821756","-80.22431508"
"Atkins Academic & Tech High","Forsyth County Schools","A+ - 86","A","86","Exceeded","80.8","40","36.10807747","-80.19586958"
"Bolton Elementary","Forsyth County Schools","D - 52","D","52","Met","43.9","88","36.07482900","-80.29200700"
"Brunson Elementary","Forsyth County Schools","B - 70","B","70","Met","70.0","54","36.09371185","-80.26459503"
"Caleb's Creek Elementary","Forsyth County Schools","C - 68","C","68","Met","67.1","34","36.07622147","-80.08186340"
"Carver High","Forsyth County Schools","D - 44","D","44","NotMet","19.8","87","36.13421559","-80.20868115"
"Career Center","Forsyth County Schools","I - NA","I","","NA","NA","NA","36.17016983","-80.31501770"
"Cash Elementary","Forsyth County Schools","C - 69","C","69","Exceeded","64.3","41","36.13627600","-80.12311500"
"Carter High School","Forsyth County Schools","NA - NA","N","","NA","45.8","57","36.17016983","-80.31501770"
"Childrens Center","Forsyth County Schools","NA - NA","N","","NA","7.7","47","36.11676407","-80.27989197"
"Clemmons Elementary","Forsyth County Schools","B - 81","B","81","Met","80.9","19","36.02431100","-80.37679200"
"Clemmons Middle School","Forsyth County Schools","C - 63","C","63","Exceeded","56.1","49","36.02722100","-80.33662400"
