school_name_value,school_system_value,schoolgrade_value,growthstatus_value,gradelevel_value,freereduced_value
"Beverly Woods Elementary","Charlotte-Mecklenburg Schools","B - 80","Met","78.7","15"
"Barnette Elementary","Charlotte-Mecklenburg Schools","B - 73","Met","71.3","21"
"Briarwood Elementary","Charlotte-Mecklenburg Schools","D - 45","Met","37.6","95"
"Carmel Middle","Charlotte-Mecklenburg Schools","B - 78","Exceeded","73.6","41"
"Cato Middle College High","Charlotte-Mecklenburg Schools","A - 96","NA","NA","37"
"Billingsville Elementary","Charlotte-Mecklenburg Schools","D - 52","Exceeded","42.6","95"
"Chantilly Montessori","Charlotte-Mecklenburg Schools","B - 79","Met","78.9","19"
"Clear Creek Elementary","Charlotte-Mecklenburg Schools","C - 69","Met","67.1","57"
"Cochrane Collegiate Academy","Charlotte-Mecklenburg Schools","D - 44","Met","33.3","88"
"Collinswood Language Academy","Charlotte-Mecklenburg Schools","B - 77","Met","78.8","54"
"Community House Middle","Charlotte-Mecklenburg Schools","A - 89","Exceeded","86.2","15"
"Cornelius Elementary","Charlotte-Mecklenburg Schools","B - 73","NotMet","76.3","30"
"Cotswold Elementary","Charlotte-Mecklenburg Schools","B - 70","Met","66.3","39"
"Coulwood Middle","Charlotte-Mecklenburg Schools","D - 50","Exceeded","39.1","83"
"Crown Point Elementary","Charlotte-Mecklenburg Schools","B - 73","Exceeded","69.6","59"
"Crestdale Middle","Charlotte-Mecklenburg Schools","B - 75","NotMet","79.3","24"
"Davidson Elementary","Charlotte-Mecklenburg Schools","B - 84","Exceeded","83.6","13"
"Butler High","Charlotte-Mecklenburg Schools","B - 81","Exceeded","69.5","44"
"David Cox Road Elementary","Charlotte-Mecklenburg Schools","D - 45","NotMet","40.8","67"
"Military and Global Leadership Academy","Charlotte-Mecklenburg Schools","C - 55","Exceeded","44.3","80"
"Devonshire Elementary","Charlotte-Mecklenburg Schools","D - 48","Met","40.6","96"
"Dilworth Elementary","Charlotte-Mecklenburg Schools","B - 81","Met","83.1","21"
"First Ward Creative Arts Acad","Charlotte-Mecklenburg Schools","C - 60","Exceeded","53.2","81"
"Berewick Elementary","Charlotte-Mecklenburg Schools","C - 59","Met","52.5","56"
"Druid Hills Academy","Charlotte-Mecklenburg Schools","F - 34","NotMet","26.7","98"
"East Mecklenburg High","Charlotte-Mecklenburg Schools","B - 78","Exceeded","63.4","62"
"Eastover Elementary","Charlotte-Mecklenburg Schools","B - 72","NotMet","74.0","24"
"Eastway Middle","Charlotte-Mecklenburg Schools","F - 39","NotMet","34.4","92"
"Elizabeth Lane Elem","Charlotte-Mecklenburg Schools","A - 88","Exceeded","88.6","10"
"Elon Park Elementary","Charlotte-Mecklenburg Schools","A+ - 89","Exceeded","88.9","7"
"Elizabeth Traditional Elem","Charlotte-Mecklenburg Schools","B - 70","NotMet","70.2","45"
"Endhaven Elementary","Charlotte-Mecklenburg Schools","B - 79","Exceeded","75.9","28"
"Hawthorne High","Charlotte-Mecklenburg Schools","C - 64","Exceeded","59.5","88"
"Polo Ridge Elementary","Charlotte-Mecklenburg Schools","A+ - 89","Met","90.9","5"
"Francis Bradley Middle","Charlotte-Mecklenburg Schools","B - 77","Exceeded","72.8","34"
"Garinger High","Charlotte-Mecklenburg Schools","D - 53","Exceeded","30.0","87"
"Greenway Park Elementary","Charlotte-Mecklenburg Schools","D - 52","Met","46.5","82"
"Alexander Graham Middle","Charlotte-Mecklenburg Schools","B - 74","Exceeded","69.5","36"
"Harding University High","Charlotte-Mecklenburg Schools","D - 45","NotMet","26.0","82"
"Hawk Ridge Elementary","Charlotte-Mecklenburg Schools","B - 81","NotMet","83.6","13"
"Hickory Grove Elementary","Charlotte-Mecklenburg Schools","C - 55","Exceeded","46.7","89"
"Highland Creek Elementary","Charlotte-Mecklenburg Schools","B - 71","NotMet","71.3","24"
"Hidden Valley Elementary","Charlotte-Mecklenburg Schools","D - 45","Met","38.5","97"
"Highland Mill Montessori","Charlotte-Mecklenburg Schools","B - 73","Met","70.9","34"
"Highland Renaissance Academy","Charlotte-Mecklenburg Schools","C - 60","Met","54.2","92"
"Hopewell High","Charlotte-Mecklenburg Schools","C - 68","Met","48.3","46"
"Hornets Nest Elementary","Charlotte-Mecklenburg Schools","C - 59","Exceeded","52.0","79"
"Croft Community Elementary","Charlotte-Mecklenburg Schools","C - 61","Met","57.5","41"
"Huntersville Elementary","Charlotte-Mecklenburg Schools","A+ - 85","Met","85.9","27"
"Huntingtowne Farms Elementary","Charlotte-Mecklenburg Schools","D - 49","Met","41.8","86"
"Idlewild Elementary","Charlotte-Mecklenburg Schools","C - 68","Exceeded","62.1","83"
"Independence High","Charlotte-Mecklenburg Schools","B - 78","Exceeded","65.6","54"
"James Martin Middle","Charlotte-Mecklenburg Schools","D - 44","Met","34.8","81"
"Morehead STEM Academy","Charlotte-Mecklenburg Schools","B - 77","Exceeded","75.4","59"
"Jay M Robinson Middle","Charlotte-Mecklenburg Schools","A - 92","Exceeded","90.7","12"
"Joseph W Grier Academy","Charlotte-Mecklenburg Schools","C - 69","Exceeded","63.6","83"
"J.V. Washam Elementary","Charlotte-Mecklenburg Schools","B - 73","NotMet","76.9","19"
"Kennedy Middle","Charlotte-Mecklenburg Schools","D - 46","NotMet","42.3","67"
"Trillium Springs Montessori","Charlotte-Mecklenburg Schools","I - NA","NA","NA","23"
"Lake Wylie Elementary","Charlotte-Mecklenburg Schools","C - 63","Exceeded","57.4","60"
"Ballantyne Elementary","Charlotte-Mecklenburg Schools","A+ - 86","Exceeded","84.0","16"
"Lansdowne Elementary","Charlotte-Mecklenburg Schools","C - 67","Met","62.8","50"
"Turning Point Academy","Charlotte-Mecklenburg Schools","NA - NA","NA","10.3","86"
"Lebanon Road Elementary","Charlotte-Mecklenburg Schools","C - 60","Met","55.1","79"
"Blythe Elementary","Charlotte-Mecklenburg Schools","C - 66","Met","63.3","48"
"Levine Middle College High","Charlotte-Mecklenburg Schools","A - 98","NA","NA","33"
"Long Creek Elementary","Charlotte-Mecklenburg Schools","C - 63","Met","57.6","54"
"Mallard Creek High","Charlotte-Mecklenburg Schools","B - 77","Exceeded","61.5","46"
"Mallard Creek Elementary","Charlotte-Mecklenburg Schools","C - 63","Met","59.0","49"
"Matthews Elementary","Charlotte-Mecklenburg Schools","B - 82","Exceeded","79.4","31"
"Martin Luther King Jr Middle","Charlotte-Mecklenburg Schools","F - 34","NotMet","27.4","93"
"McAlpine Elementary","Charlotte-Mecklenburg Schools","B - 73","NotMet","75.0","25"
"McClintock Middle","Charlotte-Mecklenburg Schools","D - 48","Met","39.3","86"
"McKee Road Elementary","Charlotte-Mecklenburg Schools","B - 83","Met","83.7","16"
"Merry Oaks Elementary","Charlotte-Mecklenburg Schools","D - 47","Met","38.1","93"
"Metro School","Charlotte-Mecklenburg Schools","NA - NA","NA","24.2","80"
"Mint Hill Middle","Charlotte-Mecklenburg Schools","B - 76","Exceeded","71.3","46"
"Rocky River High","Charlotte-Mecklenburg Schools","C - 64","Exceeded","42.5","70"
"Montclaire Elementary","Charlotte-Mecklenburg Schools","D - 45","Met","35.9","93"
"Lincoln Heights Academy","Charlotte-Mecklenburg Schools","NA - NA","NA","<5","79"
"Mountain Island Lake Academy","Charlotte-Mecklenburg Schools","C - 60","NotMet","59.2","53"
"River Oaks Academy","Charlotte-Mecklenburg Schools","C - 57","Met","50.8","72"
"Myers Park Traditional","Charlotte-Mecklenburg Schools","B - 71","Exceeded","67.1","33"
"Myers Park High","Charlotte-Mecklenburg Schools","A - 87","Exceeded","77.9","31"
"Nathaniel Alexander Elementary","Charlotte-Mecklenburg Schools","C - 56","Exceeded","47.3","79"
"Nations Ford Elementary","Charlotte-Mecklenburg Schools","D - 43","Met","33.2","93"
"Newell Elementary","Charlotte-Mecklenburg Schools","D - 48","Met","41.3","91"
"J H Gunn Elementary","Charlotte-Mecklenburg Schools","C - 55","Exceeded","46.8","81"
"Northeast Middle","Charlotte-Mecklenburg Schools","D - 49","NotMet","45.2","68"
"North Mecklenburg High","Charlotte-Mecklenburg Schools","C - 66","Met","48.8","60"
"Northridge Middle","Charlotte-Mecklenburg Schools","D - 45","NotMet","39.8","82"
"Northwest School of the Arts","Charlotte-Mecklenburg Schools","B - 84","Exceeded","77.3","42"
"Oakdale Elementary","Charlotte-Mecklenburg Schools","D - 48","Met","39.4","86"
"Oaklawn Language Academy","Charlotte-Mecklenburg Schools","B - 70","Met","66.7","77"
"Bruns Academy","Charlotte-Mecklenburg Schools","F - 28","NotMet","20.1","94"
"Olde Providence Elementary","Charlotte-Mecklenburg Schools","B - 78","NotMet","82.3","15"
"Park Road Montessori","Charlotte-Mecklenburg Schools","B - 79","Met","79.8","12"
"Palisades Park Elementary","Charlotte-Mecklenburg Schools","B - 78","Exceeded","73.6","39"
"Paw Creek Elementary","Charlotte-Mecklenburg Schools","C - 57","Met","50.9","81"
"Phillip O Berry Academy of Technology","Charlotte-Mecklenburg Schools","B - 77","Met","70.7","68"
"Piedmont IB Middle","Charlotte-Mecklenburg Schools","A+ - 86","Exceeded","83.7","40"
"Performance Learning Center","Charlotte-Mecklenburg Schools","B - 71","Met","47.1","41"
"Pineville Elementary","Charlotte-Mecklenburg Schools","C - 61","Exceeded","53.3","59"
"Pinewood Elementary","Charlotte-Mecklenburg Schools","C - 55","Met","50.6","82"
"Piney Grove Elementary","Charlotte-Mecklenburg Schools","C - 56","Met","49.9","79"
"Providence Spring Elementary","Charlotte-Mecklenburg Schools","A+ - 93","Exceeded","94.1","4"
"Providence High","Charlotte-Mecklenburg Schools","A+ - 95","Exceeded","90.8","10"
"Quail Hollow Middle","Charlotte-Mecklenburg Schools","D - 53","Met","46.3","70"
"Rama Road Elementary","Charlotte-Mecklenburg Schools","D - 52","Exceeded","43.1","82"
"Randolph Middle","Charlotte-Mecklenburg Schools","B - 79","Met","80.5","44"
"Ranson Middle","Charlotte-Mecklenburg Schools","C - 55","Exceeded","44.3","84"
"Reedy Creek Elementary","Charlotte-Mecklenburg Schools","C - 68","Exceeded","61.1","72"
"Reid Park Academy","Charlotte-Mecklenburg Schools","F - 34","Met","24.3","94"
"Ridge Road Middle","Charlotte-Mecklenburg Schools","C - 66","Exceeded","57.9","52"
"Sedgefield Elementary","Charlotte-Mecklenburg Schools","D - 48","NotMet","45.1","96"
"Sedgefield Middle","Charlotte-Mecklenburg Schools","F - 36","NotMet","31.0","85"
"Stoney Creek Elementary","Charlotte-Mecklenburg Schools","D - 54","Met","50.1","68"
"Selwyn Elementary","Charlotte-Mecklenburg Schools","A - 85","Exceeded","83.7","20"
"Shamrock Gardens Elementary","Charlotte-Mecklenburg Schools","C - 59","Met","52.7","78"
"Sharon Elementary","Charlotte-Mecklenburg Schools","B - 81","Met","83.3","17"
"Waddell Language Academy","Charlotte-Mecklenburg Schools","B - 78","Met","77.3","31"
"Smithfield Elementary","Charlotte-Mecklenburg Schools","B - 73","Met","69.7","47"
"South Mecklenburg High","Charlotte-Mecklenburg Schools","B - 82","Exceeded","70.6","46"
"South Charlotte Middle","Charlotte-Mecklenburg Schools","A - 90","Exceeded","87.1","16"
"Southwest Middle School","Charlotte-Mecklenburg Schools","C - 58","Exceeded","50.9","58"
"Statesville Road Elementary","Charlotte-Mecklenburg Schools","C - 60","Exceeded","52.7","88"
"Steele Creek Elementary","Charlotte-Mecklenburg Schools","D - 53","Met","45.7","73"
"Sterling Elementary","Charlotte-Mecklenburg Schools","F - 33","NotMet","25.9","93"
"Thomasboro Academy","Charlotte-Mecklenburg Schools","D - 42","Exceeded","31.4","94"
"Torrence Creek Elementary","Charlotte-Mecklenburg Schools","B - 80","Exceeded","77.8","21"
"Grand Oak Elementary","Charlotte-Mecklenburg Schools","A - 85","Exceeded","85.2","7"
"Tuckaseegee Elementary","Charlotte-Mecklenburg Schools","D - 43","Met","35.2","85"
"University Park Creative Arts","Charlotte-Mecklenburg Schools","C - 57","Exceeded","48.5","82"
"University Meadows Elementary","Charlotte-Mecklenburg Schools","C - 57","Met","52.2","74"
"Charlotte Engineering Early College-UNCC","Charlotte-Mecklenburg Schools","B - 81","Met","80.6","54"
"Irwin Academic Center","Charlotte-Mecklenburg Schools","B - 78","NotMet","84.2","26"
"Walter G Byers School","Charlotte-Mecklenburg Schools","F - 36","NotMet","27.8","93"
"West Charlotte High","Charlotte-Mecklenburg Schools","D - 51","Met","28.8","87"
"Westerly Hills Academy","Charlotte-Mecklenburg Schools","F - 33","NotMet","26.1","95"
"West Mecklenburg High","Charlotte-Mecklenburg Schools","D - 53","Met","32.2","78"
"Winding Springs Elementary","Charlotte-Mecklenburg Schools","D - 52","Exceeded","42.7","86"
"Windsor Park Elementary","Charlotte-Mecklenburg Schools","C - 60","Met","57.0","89"
"Winget Park Elementary","Charlotte-Mecklenburg Schools","B - 71","Exceeded","67.0","42"
"Winterfield Elementary","Charlotte-Mecklenburg Schools","D - 42","Exceeded","30.4","94"
"River Gate Elementary","Charlotte-Mecklenburg Schools","C - 69","Met","65.9","41"
"Vance High","Charlotte-Mecklenburg Schools","C - 62","Exceeded","39.8","78"
"Olympic High - Renaissance School","Charlotte-Mecklenburg Schools","B - 70","Exceeded","55.4","48"
"Olympic High-Math Eng Tech Science","Charlotte-Mecklenburg Schools","B - 80","Exceeded","70.2","39"
"Olympic TEAM High School","Charlotte-Mecklenburg Schools","C - 64","Met","58.9","65"
"Olympic High-Leadership and Development","Charlotte-Mecklenburg Schools","C - 60","Met","33.8","65"
"Olympic High - Biotech Health Pub Admin","Charlotte-Mecklenburg Schools","B - 73","Exceeded","53.8","54"
"Pine Lake Preparatory","Charter Schools","A+ - 85","Met","84.3","1"
"Sterling Montessori Academy","Charter Schools","A+ - 87","Exceeded","87.1","1"
"River Mill Academy","Charter Schools","B - 72","Met","68.6","24"
"Clover Garden","Charter Schools","B - 71","Met","65.7","33"
"The Hawbridge School","Charter Schools","B - 81","Met","80.5","2"
"Grandfather Academy","Charter Schools","F - 23","NA","25.6","100"
"Williams Academy","Charter Schools","D - 46","Met","34.0","93"
"Washington Montessori","Charter Schools","C - 65","Met","61.9","0"
"Heritage Collegiate Leadership Academy","Charter Schools","F - 38","NotMet","31.0","88"
"Paul R Brown Leadership Academy","Charter Schools","F - 31","Met","17.8","99"
"Charter Day School","Charter Schools","B - 70","NotMet","71.3","36"
"South Brunswick Charter School","Charter Schools","I - NA","NA","NA","50"
"Evergreen Community Charter","Charter Schools","B - 71","NotMet","72.4","39"
"ArtSpace Charter School","Charter Schools","B - 73","Met","70.1","49"
"Invest Collegiate - Imagine","Charter Schools","B - 72","NotMet","75.6","8"
"The Franklin School of Innovation","Charter Schools","C - 69","NotMet","69.1","33"
"Francine Delany New School","Charter Schools","B - 77","Exceeded","74.7","48"
"New Dimensions","Charter Schools","C - 67","Exceeded","62.1","27"
"Carolina International School","Charter Schools","C - 59","NotMet","56.2","0"
"Cabarrus Charter Academy","Charter Schools","B - 77","Exceeded","75.1","8"
"A.C.E. Academy","Charter Schools","D - 44","Met","37.3","43"
"Tiller School","Charter Schools","A - 86","Met","87.0","25"
"Chatham Charter","Charter Schools","B - 77","Exceeded","73.9","12"
"Woods Charter","Charter Schools","A+ - 89","Met","89.3","5"
"Willow Oak Montessori","Charter Schools","B - 72","Met","70.2","10"
"The Learning Center","Charter Schools","C - 56","Met","51.7","72"
"Pinnacle Classical Academy","Charter Schools","B - 73","Met","69.9","26"
"Flemington Academy","Charter Schools","F - 33","Met","17.9","93"
"Columbus Charter School","Charter Schools","B - 70","Exceeded","64.2","42"
"Alpha Academy","Charter Schools","C - 62","Met","58.5","85"
"The Capitol Encore Academy","Charter Schools","D - 43","NotMet","38.6","41"
"Water's Edge Village School","Charter Schools","C - 55","NA","52.2","26"
"Maureen Joy Charter School","Charter Schools","C - 64","Exceeded","55.2","88"
"Healthy Start Academy","Charter Schools","F - 39","Met","28.3","98"
"Carter Community Charter","Charter Schools","D - 47","Exceeded","36.0","81"
